date,score,active_calories,steps,equivalent_walking_distance
2025-11-23,72,885,6092,13471
2025-11-24,67,463,4136,7115
2025-11-25,72,397,5333,6291
2025-11-26,70,297,5446,4311
2025-11-27,70,476,6965,7460
2025-11-28,71,446,8860,7299
2025-11-29,74,464,3964,7832
2025-11-30,74,496,4668,8023
2025-12-01,70,870,2300,14616
2025-12-02,65,206,2375,2689
2025-12-03,67,163,1845,2052
2025-12-04,72,908,8205,13516
2025-12-05,70,390,2301,5890
2025-12-06,75,785,6161,12133
2025-12-07,69,320,5208,4999
2025-12-08,71,231,3271,3512
2025-12-09,70,319,4489,4343
2025-12-10,69,375,5703,5658
2025-12-11,61,246,4291,3708
2025-12-12,59,319,4688,4735
2025-12-13,55,331,5923,5443
2025-12-14,58,308,4029,4698
2025-12-15,52,158,1633,1919
2025-12-16,50,158,1943,1819
2025-12-17,50,178,2031,2156
2025-12-18,60,575,6315,8266
2025-12-19,67,479,5468,7391
2025-12-20,72,723,7721,11831
2025-12-21,71,29,365,341
2025-12-22,79,1003,5324,15559
2025-12-23,77,179,2364,2559
2025-12-24,81,843,5326,12925
2025-12-25,79,529,3901,8084
2025-12-26,85,858,7757,12625
2025-12-27,79,368,6918,5791
2025-12-28,83,818,12473,13857
2025-12-29,80,625,6906,10686
2025-12-30,74,393,5285,5941
2025-12-31,78,914,13165,14446
