date,score,total_sleep_min,deep_min,rem_min,light_min,awake_min,efficiency,hr_lowest,hr_average,hrv_average,breath_average
2026-01-01,84,,,,,,93,,,,
2026-01-02,75,,,,,,69,,,,
2026-01-03,85,,,,,,69,,,,
2026-01-04,91,,,,,,97,,,,
2026-01-05,86,,,,,,81,,,,
2026-01-06,89,,,,,,88,,,,
2026-01-07,82,,,,,,90,,,,
2026-01-08,77,,,,,,67,,,,
2026-01-09,88,,,,,,96,,,,
2026-01-10,79,,,,,,58,,,,
2026-01-11,83,,,,,,74,,,,
2026-01-12,77,,,,,,76,,,,
2026-01-13,87,,,,,,83,,,,
2026-01-14,78,,,,,,76,,,,
2026-01-15,72,,,,,,55,,,,
2026-01-16,71,,,,,,65,,,,
2026-01-17,77,,,,,,67,,,,
2026-01-18,81,,,,,,79,,,,
2026-01-19,78,,,,,,69,,,,
2026-01-20,86,,,,,,86,,,,
2026-01-21,79,,,,,,83,,,,
2026-01-22,85,,,,,,79,,,,
2026-01-23,86,,,,,,93,,,,
2026-01-25,80,,,,,,62,,,,
2026-01-26,79,,,,,,65,,,,
2026-01-27,81,,,,,,83,,,,
2026-01-28,77,,,,,,74,,,,
2026-01-29,71,,,,,,67,,,,
2026-01-30,88,,,,,,93,,,,
2026-01-31,80,,,,,,83,,,,
2026-02-01,32,,,,,,27,,,,
2026-02-02,73,,,,,,67,,,,
2026-02-03,81,,,,,,81,,,,
2026-02-04,74,,,,,,74,,,,
2026-02-05,77,,,,,,74,,,,
2026-02-06,78,,,,,,81,,,,
2026-02-07,70,,,,,,86,,,,
2026-02-08,94,,,,,,81,,,,
2026-02-09,82,,,,,,74,,,,
2026-02-10,70,,,,,,60,,,,
2026-02-11,83,,,,,,81,,,,
2026-02-12,73,,,,,,67,,,,
2026-02-13,81,,,,,,81,,,,
2026-02-14,86,,,,,,79,,,,
2026-02-15,82,,,,,,88,,,,
2026-02-16,80,,,,,,79,,,,
2026-02-17,85,,,,,,62,,,,
2026-02-18,86,,,,,,88,,,,
2026-02-19,81,,,,,,86,,,,
2026-02-20,81,,,,,,88,,,,
2026-02-21,82,,,,,,69,,,,
